url,Modelo,Precio,VRAM,Tipo VRAM,HDMI,DisplayPort,Energia
https://www.coolmod.com/powercolor-fighter-amd-radeon-rx-7600-8gb-gddr6/,Tarjeta Gráfica PowerColor Fighter AMD Radeon RX 7600 8GB GDDR6,29495,8,GDDR6,2,1,550
https://www.coolmod.com/msi-geforce-rtx-4060-ventus-2x-black-oc-8gb-gddr6-dlss3/,Tarjeta Gráfica MSI GeForce RTX 4060 VENTUS 2X Black OC 8GB GDDR6 DLSS3,31995,8,GDDR6,1,1,115
https://www.coolmod.com/msi-geforce-rtx-5070-ventus-2x-oc-12gb-gddr7-dlss4/,Tarjeta Gráfica MSI GeForce RTX 5070 VENTUS 2X OC 12GB GDDR7 DLSS4,73995,12,,1,1,250
https://www.coolmod.com/msi-geforce-rtx-5070-gaming-trio-oc-white-12gb-gddr7-dlss4/,Tarjeta Gráfica MSI GeForce RTX 5070 GAMING TRIO OC WHITE 12GB GDDR7 DLSS4,82995,12,,1,1,250
https://www.coolmod.com/asus-tuf-gaming-geforce-rtx-5070-oc-12gb-gddr7-dlss4/,Tarjeta Gráfica Asus TUF Gaming GeForce RTX 5070 OC 12GB GDDR7 DLSS4,87995,12,,1,1,750
https://www.coolmod.com/asus-dual-geforce-rtx-4060-gaming-8gb-gddr6-dlss3-bulk/,Tarjeta Gráfica Asus Dual GeForce RTX 4060 Gaming 8GB GDDR6 DLSS3 Bulk,34995,8,,,,
https://www.coolmod.com/inno3d-geforce-rtx-3050-6gb-twin-x2-v2-6gb-gddr6/,Tarjeta Gráfica INNO3D GeForce RTX 3050 6GB TWIN X2 V2 6GB GDDR6,18995,6,GDDR6,2,1,450
https://www.coolmod.com/gigabyte-radeon-rx-7800-xt-gaming-oc-16gb-gddr6/,Tarjeta Gráfica Gigabyte Radeon RX 7800 XT Gaming OC 16GB GDDR6,52696,16,GDDR6,1,1,700
https://www.coolmod.com/asus-tuf-gaming-radeon-rx-7800-xt-oc-16gb-gddr6/,Tarjeta Gráfica Asus TUF Gaming Radeon RX 7800 XT OC 16GB GDDR6,58295,16,GDDR6,1,2,750
https://www.coolmod.com/sapphire-pulse-radeon-rx-7800-xt-16gb-gddr6/,Tarjeta Gráfica Sapphire Pulse Radeon RX 7800 XT 16GB GDDR6,51594,16,,1,1,266
https://www.coolmod.com/inno3d-geforce-rtx-3050-twin-x2-oc-gaming-8gb-gddr6/,Tarjeta Gráfica INNO3D GeForce RTX 3050 TWIN X2 OC Gaming 8GB GDDR6,21995,8,GDDR6,2,1,
https://www.coolmod.com/powercolor-amd-radeon-rx-7700-xt-fighter-oc-12gb-gddr6/,Tarjeta Gráfica PowerColor AMD Radeon RX 7700 XT Fighter OC 12GB GDDR6,50295,12,GDDR6,2,2,750
https://www.coolmod.com/gigabyte-geforce-rtx-3050-windforce-oc-v2-6gb-gddr6-dlss3/,Tarjeta Gráfica Gigabyte GeForce RTX 3050 WindForce OC V2 6GB GDDR6 DLSS3,19995,6,GDDR6,2,1,300
https://www.coolmod.com/inno3d-geforce-gt-730-lp-2gb-sddr3/,Tarjeta Gráfica INNO3D GeForce GT 710 LP 2GB SDDR3,4195,2,None,1,1,
https://www.coolmod.com/gigabyte-geforce-rtx-3050-oc-low-profile-6gb-gddr6/,Tarjeta Gráfica Gigabyte GeForce RTX 3050 OC Low Profile 6GB GDDR6,21095,6,GDDR6,2,1,181
https://www.coolmod.com/powercolor-reaper-amd-radeon-rx-9070-16gb-gddr6/,Tarjeta Gráfica PowerColor Reaper AMD Radeon RX 9070 16GB GDDR6,71995,16,GDDR6,1,2,650
https://www.coolmod.com/gigabyte-radeon-rx-7600-xt-oc-16gb-gddr6/,Tarjeta Gráfica Gigabyte Radeon RX 7600 XT OC 16GB GDDR6,35895,16,,,,
https://www.coolmod.com/msi-geforce-rtx-4060-ventus-2x-white-oc-8gb-gddr6-dlss3/,Tarjeta Gráfica MSI GeForce RTX 4060 VENTUS 2X WHITE OC 8GB GDDR6 DLSS3,33495,8,,1,1,550
https://www.coolmod.com/asus-dual-geforce-rtx-3050-v2-oc-edition-8gb-gddr6/,Tarjeta Gráfica Asus Dual GeForce RTX 3050 V2 OC Edition 8GB GDDR6,23395,8,,1,1,550
https://www.coolmod.com/asus-dual-geforce-rtx-3050-6gb-gddr6/,Tarjeta Gráfica Asus Dual GeForce RTX 3050 OC 6GB GDDR6,20695,6,,1,1,
https://www.coolmod.com/sapphire-nitro-radeon-rx-7800-xt-gaming-16gb-gddr6/,Tarjeta Gráfica Sapphire NITRO+ Radeon RX 7800 XT Gaming 16GB GDDR6,56995,16,,1,1,288
https://www.coolmod.com/zotac-geforce-rtx-4060-twin-edge-8gb-gddr6-dlss3/,Tarjeta Gráfica Zotac GeForce RTX 4060 Twin Edge 8GB GDDR6 DLSS3,33095,8,GDDR6,2,1,500
https://www.coolmod.com/asus-dual-geforce-rtx-3060-oc-lhr-v2-12gb-gddr6-tarjeta-grafica/,Tarjeta Gráfica Asus Dual GeForce RTX 3060 OC LHR V2 12GB GDDR6,32995,12,GDDR6,1,1,650
https://www.coolmod.com/sapphire-pulse-radeon-rx-7600-gaming-oc-8gb-gddr6/,Tarjeta Gráfica Sapphire Pulse Radeon RX 7600 Gaming OC 8GB GDDR6,27495,8,GDDR6,1,1,
https://www.coolmod.com/sapphire-pure-radeon-rx-7800-xt-oc-16gb-gddr6/,Tarjeta Gráfica Sapphire Pure Radeon RX 7800 XT OC 16GB GDDR6,54396,16,,1,1,270
